City Number,Name,Latitude,Longitude
1,Las Vegas,36.1699,-115.1398
2,Seattle,47.6062,-122.3321
3,Miami,25.7617,-80.1918
4,Denver,39.7392,-104.9903
5,Boston,42.3601,-71.0589
6,New Orleans,29.9511,-90.0715
7,Phoenix,33.4484,-112.0740
8,Chicago,41.8781,-87.6298
9,Portland,45.5152,-122.6784
10,Atlanta,33.7490,-84.3880
11,Minneapolis,44.9778,-93.2650
12,San Antonio,29.4241,-98.4936
13,Buffalo,42.8864,-78.8784
14,Tampa,27.9506,-82.4572
15,Kansas City,39.0997,-94.5786
16,Nashville,36.1627,-86.7816
17,Albuquerque,35.0844,-106.6504
18,Sacramento,38.5816,-121.4944
19,Charlotte,35.2271,-80.8431
20,Detroit,42.3314,-83.0458
21,El Paso,31.7619,-106.4850
22,Virginia Beach,36.8529,-75.9780
23,Omaha,41.2565,-95.9345
24,Tucson,32.2226,-110.9747
25,Cleveland,41.4993,-81.6944
26,Oklahoma City,35.4676,-97.5164
27,Jacksonville,30.3322,-81.6557
28,Milwaukee,43.0389,-87.9065
29,Raleigh,35.7796,-78.6382
30,Fresno,36.7378,-119.7871
31,St. Louis,38.6270,-90.1994
32,Colorado Springs,38.8339,-104.8214
33,Louisville,38.2527,-85.7585
34,Memphis,35.1495,-90.0490
35,Baltimore,39.2904,-76.6122
36,Wichita,37.6872,-97.3301
37,Toledo,41.6528,-83.5379
38,Fort Wayne,41.0793,-85.1394
39,Columbus,39.9612,-82.9988
40,Indianapolis,39.7684,-86.1581
41,Lexington,38.0406,-84.5037
42,Cincinnati,39.1031,-84.5120
43,Pittsburgh,40.4406,-79.9959
44,Orlando,28.5383,-81.3792
45,Tulsa,36.1540,-95.9928
46,Lincoln,40.8136,-96.7026
47,Greensboro,36.0726,-79.7920
48,Durham,35.9940,-78.8986
49,Corpus Christi,27.8006,-97.3964
50,Spokane,47.6587,-117.4260
51,Boise,43.6150,-116.2023
52,Salt Lake City,40.7608,-111.8910
53,Billings,45.7833,-108.5007
54,Fargo,46.8772,-96.7898
55,Sioux Falls,43.5446,-96.7311
56,Des Moines,41.5868,-93.6250
57,Little Rock,34.7465,-92.2896
58,Jackson,32.2988,-90.1848
59,Mobile,30.6954,-88.0399
60,Birmingham,33.5207,-86.8025
61,Knoxville,35.9606,-83.9207
62,Charleston,32.7767,-79.9311
63,Columbia,34.0007,-81.0348
64,Savannah,32.0835,-81.0998
65,Richmond,37.5407,-77.4360
66,Norfolk,36.8468,-76.2852
67,Wilmington,39.7391,-75.5398
68,Albany,42.6803,-73.8370
69,Syracuse,43.0481,-76.1474
70,Rochester,43.1566,-77.6088
71,Portland,43.6591,-70.2568
72,Burlington,44.4759,-73.2121
73,Manchester,42.9956,-71.4548
74,Providence,41.8240,-71.4128
75,Hartford,41.7658,-72.6734
76,Bridgeport,41.1865,-73.1952
77,New Haven,41.3083,-72.9279
78,Wilmington,34.2257,-77.9447
79,Asheville,35.5951,-82.5515
80,Chattanooga,35.0456,-85.3097